Year,Iowa Code Chapter,State,Company Name,Line of Insurance,Premiums Written,Losses Paid,Taxes Paid,NAIC Number,Iowa Company Code
2017,515.48,DE,21st Century Assurance Company,Private Passenger Auto No Fault (pip),0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Other Private Passenger Auto Liability,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Commercial Auto No Fault (pip),0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Other Commerical Auto Liability,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Private Passenger Physical Damage,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Commercial Auto Physical Damage,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Aircraft,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Fidelity,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Surety,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Burglary and Theft,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Boiler and Machinery,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Credit,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Warranty,0,0,0,44245,2629
2017,515.48,DE,21st Century Assurance Company,Aggregate Write-In,0,0,0,44245,2629
2017,515.48,CA,21st Century Casualty Company,Fire,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Allied Lines,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Multiple Peril Crop,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Federal Flood,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Farmowners Multiple Peril,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Homeowners Multiple Peril,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Commerical Multiple Peril (Non-liability portion),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Commerical Multiple Peril (Liability portion),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Mortgage Guaranty,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Ocean Marine,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Inland Marine,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Financial Guaranty,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Medical Professional Liability,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Earthquake,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Group Accident and Health (b),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Credit Accident and Health (Group and Individual),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Collectively Renewable Accident and Health (b),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Non-Cancelable Accident and Health (b),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Guaranteed Renewable Accident and Health (b),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Non-Renewable for Stated Reasons only (b),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Other Accident only,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Medicare Title XVIII,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,All other Accident and Health (b),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Federal Employees Health Benefits Program Premium (b),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Workers Compensation,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Other Liability - Occcurence,0,0,0,36404,2988
2017,515.48,NH,Acadia Insurance Company,Federal Flood,0,0,0,31325,3096
2017,515.48,CA,21st Century Casualty Company,Other Liability - Claims Made,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Excess Workers Compensation,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Products Liability,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Private Passenger Auto No Fault (pip),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Other Private Passenger Auto Liability,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Commercial Auto No Fault (pip),0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Other Commerical Auto Liability,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Private Passenger Physical Damage,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Commercial Auto Physical Damage,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Aircraft,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Fidelity,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Surety,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Burglary and Theft,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Boiler and Machinery,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Credit,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Warranty,0,0,0,36404,2988
2017,515.48,CA,21st Century Casualty Company,Aggregate Write-In,0,0,0,36404,2988
2017,515.48,PA,21st Century Centennial Insurance Company,Fire,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Allied Lines,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Multiple Peril Crop,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Federal Flood,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Farmowners Multiple Peril,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Homeowners Multiple Peril,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Commerical Multiple Peril (Non-liability portion),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Commerical Multiple Peril (Liability portion),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Mortgage Guaranty,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Ocean Marine,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Inland Marine,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Financial Guaranty,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Medical Professional Liability,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Earthquake,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Group Accident and Health (b),0,0,150,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Credit Accident and Health (Group and Individual),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Collectively Renewable Accident and Health (b),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Non-Cancelable Accident and Health (b),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Guaranteed Renewable Accident and Health (b),0,0,150,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Non-Renewable for Stated Reasons only (b),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Other Accident only,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Medicare Title XVIII,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,All other Accident and Health (b),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Federal Employees Health Benefits Program Premium (b),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Workers Compensation,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Other Liability - Occcurence,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Other Liability - Claims Made,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Excess Workers Compensation,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Products Liability,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Private Passenger Auto No Fault (pip),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Other Private Passenger Auto Liability,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Commercial Auto No Fault (pip),0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Other Commerical Auto Liability,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Private Passenger Physical Damage,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Commercial Auto Physical Damage,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Aircraft,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Fidelity,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Surety,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Burglary and Theft,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Boiler and Machinery,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Credit,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Warranty,0,0,0,34789,2093
2017,515.48,PA,21st Century Centennial Insurance Company,Aggregate Write-In,0,0,0,34789,2093
2017,515.48,PA,21st Century Indemnity Insurance Company,Fire,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Allied Lines,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Multiple Peril Crop,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Federal Flood,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Farmowners Multiple Peril,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Homeowners Multiple Peril,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Commerical Multiple Peril (Non-liability portion),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Commerical Multiple Peril (Liability portion),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Mortgage Guaranty,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Ocean Marine,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Inland Marine,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Financial Guaranty,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Medical Professional Liability,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Earthquake,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Group Accident and Health (b),0,0,150,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Credit Accident and Health (Group and Individual),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Collectively Renewable Accident and Health (b),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Non-Cancelable Accident and Health (b),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Guaranteed Renewable Accident and Health (b),0,0,150,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Non-Renewable for Stated Reasons only (b),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Other Accident only,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Medicare Title XVIII,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,All other Accident and Health (b),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Federal Employees Health Benefits Program Premium (b),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Workers Compensation,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Other Liability - Occcurence,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Other Liability - Claims Made,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Excess Workers Compensation,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Products Liability,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Private Passenger Auto No Fault (pip),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Other Private Passenger Auto Liability,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Commercial Auto No Fault (pip),0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Other Commerical Auto Liability,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Private Passenger Physical Damage,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Commercial Auto Physical Damage,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Aircraft,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Fidelity,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Surety,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Burglary and Theft,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Boiler and Machinery,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Credit,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Warranty,0,0,0,43974,2648
2017,515.48,PA,21st Century Indemnity Insurance Company,Aggregate Write-In,0,0,0,43974,2648
2017,515.48,CA,21st Century Insurance Company,Fire,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Allied Lines,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Multiple Peril Crop,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Federal Flood,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Farmowners Multiple Peril,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Homeowners Multiple Peril,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Commerical Multiple Peril (Non-liability portion),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Commerical Multiple Peril (Liability portion),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Mortgage Guaranty,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Ocean Marine,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Inland Marine,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Financial Guaranty,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Medical Professional Liability,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Earthquake,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Group Accident and Health (b),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Credit Accident and Health (Group and Individual),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Collectively Renewable Accident and Health (b),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Non-Cancelable Accident and Health (b),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Guaranteed Renewable Accident and Health (b),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Non-Renewable for Stated Reasons only (b),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Other Accident only,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Medicare Title XVIII,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,All other Accident and Health (b),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Federal Employees Health Benefits Program Premium (b),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Workers Compensation,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Other Liability - Occcurence,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Other Liability - Claims Made,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Excess Workers Compensation,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Products Liability,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Private Passenger Auto No Fault (pip),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Other Private Passenger Auto Liability,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Commercial Auto No Fault (pip),0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Other Commerical Auto Liability,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Private Passenger Physical Damage,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Commercial Auto Physical Damage,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Aircraft,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Fidelity,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Surety,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Burglary and Theft,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Boiler and Machinery,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Credit,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Warranty,0,0,0,12963,2989
2017,515.48,CA,21st Century Insurance Company,Aggregate Write-In,0,0,0,12963,2989
2017,515.48,NY,21st Century National Insurance Company,Fire,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Allied Lines,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Multiple Peril Crop,0,0,0,36587,2711
2017,515.48,MI,Accident Fund General Insurance Company,Fire,0,0,0,12304,2994
2017,515.48,NY,21st Century National Insurance Company,Federal Flood,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Farmowners Multiple Peril,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Homeowners Multiple Peril,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Commerical Multiple Peril (Non-liability portion),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Commerical Multiple Peril (Liability portion),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Mortgage Guaranty,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Ocean Marine,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Inland Marine,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Financial Guaranty,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Medical Professional Liability,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Earthquake,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Group Accident and Health (b),0,0,150,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Credit Accident and Health (Group and Individual),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Collectively Renewable Accident and Health (b),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Non-Cancelable Accident and Health (b),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Guaranteed Renewable Accident and Health (b),0,0,150,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Non-Renewable for Stated Reasons only (b),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Other Accident only,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Medicare Title XVIII,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,All other Accident and Health (b),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Federal Employees Health Benefits Program Premium (b),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Workers Compensation,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Other Liability - Occcurence,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Other Liability - Claims Made,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Excess Workers Compensation,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Products Liability,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Private Passenger Auto No Fault (pip),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Other Private Passenger Auto Liability,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Commercial Auto No Fault (pip),0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Other Commerical Auto Liability,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Private Passenger Physical Damage,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Commercial Auto Physical Damage,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Aircraft,0,0,0,36587,2711
2017,515.48,NY,21st Century National Insurance Company,Fidelity,0,0,0,36587,2711
